LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
936,20835.48,19.9,648.98,MO,961,16800,584,66,REPO HOLD
937,7823.81,19.9,316.05,BW,6,22250,539,130,PAYING
938,11918.84,19.9,309.77,BW,0,17775,609,146,PAYING
939,4737.07,18.99,301.35,MO,0,10675,514,53,PAYING
940,11103.88,15,600,MO,39,21450,498,64,CH 13 BANKRUPTCY
941,2453.21,17.07,400,MO,0,8575,655,47,PAYING
942,1259.53,17.99,500,MO,0,11700,0,48,PAYING
943,5226.61,16.98,400,MO,70,6800,0,51,PAYING
944,2348.16,26.99,238.19,BW,132,4000,642,86,PAYING
945,6885.87,26.99,247.85,BW,41,4100,657,113,PAYING
946,4803.25,14.99,199.43,MO,54,8775,0,60,PAYING
947,8984.99,14.66,350,MO,0,9625,0,70,PAYING
948,5180.26,19.7,500,MO,0,11525,651,50,PAYING
949,9845.01,17.01,500,MO,0,17800,590,69,PAYING
950,3727.84,17.01,450,MO,0,9775,538,54,PAYING
951,6873.61,16.96,600,MO,8,14500,0,55,PAYING
952,5525.58,14.1,550,MO,0,13175,556,61,PAYING
953,9013.01,17.91,500,MO,0,14650,0,67,PAYING
954,5007.79,19.71,550,MO,0,14450,621,50,PAYING
955,7056.53,17.9,600,MO,0,11525,0,59,PAYING
956,6669.16,17.95,450,MO,0,10625,587,58,PAYING
957,4858.28,17.04,350,MO,88,6650,0,56,PAYING
958,5426.99,19.6,400,MO,6,11200,0,66,PAYING
959,14926.59,17.25,635.45,MO,5,16175,551,82,PAYING
960,11003.87,18.65,399.8,MO,0,9925,649,69,PAYING
961,6152.5,18.23,474.04,MO,0,14850,506,74,PAYING
962,3752.65,18.23,346.57,MO,0,7475,491,74,PAYING
963,7137.15,17.5,422.42,MO,170,7625,589,49,INSURANCE HOLD
964,4027.6,18.35,499.8,MO,93,9300,0,48,PAYING
965,13219.34,20,591.69,MO,73,13925,501,61,PAYING
966,7397.37,21,364.71,MO,69,5650,603,57,PAYING
967,1386.43,22,591.8,MO,0,13550,618,48,PAYING
968,3443.31,20,422.73,MO,15,6000,591,54,PAYING
969,8011.26,18.49,274.64,MO,43,11550,580,66,PAYING
970,8083.57,22.9,219.36,BW,0,6600,639,130,PAYING
971,9036.22,22.9,227.95,BW,0,7025,505,132,PAYING
972,11277.07,22.9,227.95,BW,3,6750,532,140,PAYING
973,8878.92,22.9,223.45,BW,0,5700,590,130,PAYING
974,10576.41,22.9,225.78,BW,0,6450,566,138,PAYING
975,8210.47,22.9,221.47,BW,40,6450,512,130,PAYING
976,6050.31,19.9,360,MO,1,8750,511,59,PAYING
977,5709.94,14.99,301.64,MO,0,5050,579,67,PAYING
978,11842.9,17.99,141.18,BW,950,7825,653,138,REPO HOLD
979,5534.59,17.99,243.84,BW,0,10425,608,130,PAYING
980,12849.99,14.94,368.89,BW,243,15100,503,117,CH 13 BANKRUPTCY
981,4114.56,20.92,240.42,BW,0,9325,611,133,PAYING
982,11924.79,20.92,250.29,BW,0,11000,577,138,PAYING
983,5407.02,18.01,345.16,MO,0,4450,643,65,PAYING
984,5032.94,17.93,222,BW,0,8925,620,142,PAYING
985,1721.03,14.98,483.42,MO,0,6950,594,61,PAYING
986,7795.18,19.92,195.6,BW,0,10275,599,130,PAYING
987,6091.5,20.98,394,MO,14,7750,556,59,PAYING
988,10839.54,19.93,189.11,BW,142,10050,0,136,REPO HOLD
989,14574.05,18.99,230,BW,1055,6175,429,99,REPO HOLD
990,4340.48,18.99,600,MO,0,9775,0,58,PAYING
991,2209.55,18.99,185,BW,0,4800,519,107,PAYING
992,8928.74,18.99,575.42,MO,149,12025,469,67,REPO HOLD
993,2653.46,18.99,200,BW,0,5225,509,104,PAYING
994,6126.08,18.99,275,BW,0,11200,649,119,PAYING
995,2577.9,18.99,495,MO,89,8975,617,60,PAYING
996,1094.67,18.99,250,BW,48,7725,612,101,PAYING
997,1019.28,18.97,355.27,MO,0,7275,0,60,PAYING
998,2377.07,18.99,200,BW,0,8175,593,102,PAYING
999,6393.15,18.99,475,MO,332,7350,0,52,CH 07 BANKRUPTCY
1000,3729.42,18.95,353.35,MO,31,7375,622,66,PAYING
1001,5171.5,18.99,210,BW,0,9000,522,108,PAYING
1002,1768.1,18.99,350,BW,0,15800,0,93,PAYING
1003,2037.35,18,385,MO,794,3875,472,46,CH 13 BANKRUPTCY
1004,7727.22,18.98,350,MO,1065,4150,507,36,CH 13 BANKRUPTCY
1005,7537.98,18.99,270,BW,75,11100,489,115,PAYING
1006,4531.55,18.89,300,MO,0,6950,527,52,PAYING
1007,9151.77,18.99,369.71,MO,1048,7275,541,50,CH 13 BANKRUPTCY
1008,3323.04,18.99,341.91,MO,88,0,589,48,PAYING
1009,4475.16,18.99,200,SM,2,6975,0,101,PAYING
1010,4800.12,18.99,225,BW,101,6100,469,97,PAYING
1011,1388.33,18.99,235,BW,34,7625,535,114,PAYING
1012,4875.57,18.99,480.02,MO,0,10950,534,53,PAYING
1013,1645.58,18.99,550,MO,0,9975,650,49,PAYING
1014,6019.73,18.99,380,MO,42,10600,537,53,PAYING
1015,3353.03,18.99,240,BW,0,13525,655,116,PAYING
1016,2571.79,18.99,235,BW,0,10800,500,118,PAYING
1017,2321.17,18.99,265,SM,2,9875,589,103,PAYING
1018,1624.83,18.99,235,BW,0,5275,481,103,PAYING
1019,2563.65,18.99,290,BW,0,9200,568,129,PAYING
1020,4432.72,18,325,MO,1041,1800,561,50,CH 13 BANKRUPTCY
1021,2114.42,18.98,320,MO,0,4850,0,44,PAYING
1022,2295.5,19.01,420,MO,0,11200,0,47,PAYING
1023,4438.02,18.95,402.16,MO,39,12200,0,50,PAYING
1024,4013.99,18.99,417.43,MO,78,9825,512,56,PAYING
1025,1557.72,18.986,150,BW,0,7150,659,1545,PAYING
1026,3198.46,18.983,210,BW,86,6150,512,109,PAYING
1027,3952.38,18.982,190,BW,26,5775,531,103,PAYING
1028,1349.64,18.99,200,BW,97,9550,0,105,REPO ASSIGN
1029,4079.84,18.99,470,MO,0,11575,0,58,PAYING
1030,3031.86,18.99,435,MO,4,12425,0,66,PAYING
1031,3114.68,18.99,115,BW,3,7550,571,124,PAYING
1032,1326,18.99,165,BW,0,6100,0,97,PAYING
1033,3428.19,18,150,BW,865,2475,582,110,CH 13 BANKRUPTCY
1034,3370.19,18.99,505,MO,0,11125,0,59,PAYING
1035,4933.78,18.99,400,MO,43,8500,561,49,PAYING
1036,4244.19,18.99,400,MO,0,12350,608,71,PAYING
1037,5456.26,12,266.93,MO,0,9725,652,61,PAYING
1038,9654.42,18.99,650,MO,0,24875,0,71,PAYING
1039,5512.92,18.99,435,MO,67,9050,512,57,PAYING
1040,2015.16,18.99,215,BW,30,7350,549,110,PAYING
1041,4458.59,19,235,SM,0,6950,570,197,PAYING
1042,1615.79,18.981,195,BW,69,6925,550,103,PAYING
1043,3777.43,18.986,205,SM,0,7500,537,98,PAYING
1044,3537.04,18.982,190,BW,12,6150,0,103,PAYING
1045,2020.01,18.987,170,BW,0,5000,492,105,PAYING
1046,3958.17,18.987,215,BW,26,9800,598,98,PAYING
1047,6083.2,18.985,190,BW,97,6875,495,113,PAYING
1048,2663.39,18.99,240,BW,0,8850,568,106,PAYING
1049,2119.09,18.99,400,MO,74,3675,520,51,PAYING
1050,1976.94,18.98,210,BW,0,7700,570,106,PAYING
1051,11198.41,18.99,190,BW,825,5575,491,108,CH 13 BANKRUPTCY
1052,6575.29,18.99,235,BW,782,8050,519,96,CH 13 BANKRUPTCY
1053,6650.88,18.99,190,BW,549,6600,574,106,CH 13 BANKRUPTCY
1054,1654.13,18,175,BW,755,3725,617,108,CH 13 BANKRUPTCY
1055,1905.13,18.99,165,BW,943,1900,517,85,CH 13 BANKRUPTCY
1056,3832.87,18.99,175,BW,82,6675,524,98,PAYING
1057,2858.98,18.99,230,BW,115,6125,0,105,PAYING
1058,4324,18.99,425,MO,19,8800,528,63,PAYING
1059,4062.31,18.99,175,BW,621,5525,0,98,CH 13 BANKRUPTCY
1060,1387.81,18.99,700,MO,0,13350,0,49,PAYING
1061,14455.21,18.99,275,BW,656,11650,609,117,CH 13 BANKRUPTCY
1062,5640.09,18.99,240,BW,19,13850,748,123,PAYING
1063,2248.74,18.99,230,BW,0,10275,472,114,PAYING
1064,3070.59,18.99,275,BW,0,11900,0,112,PAYING
1065,1171.16,18.99,200,BW,33,12300,0,112,PAYING
1066,2060.98,18.99,245,BW,0,6850,481,108,PAYING
1067,4564.67,18.99,200,SM,0,6250,510,104,PAYING
1068,5463.78,18.99,300,BW,3,9350,626,123,PAYING
1069,2346.41,18.99,300,BW,0,8025,0,116,PAYING
1070,3462.35,18.99,550,MO,0,13925,0,58,PAYING
1071,4778.94,18.99,275,BW,0,9400,686,117,PAYING
1072,3907.47,18.99,200,BW,13,7650,463,120,PAYING
1073,4642.3,18.99,240,BW,55,7575,0,106,PAYING
1074,2602.44,18.99,215,BW,27,6825,430,109,PAYING
1075,4041.34,18.99,450,MO,0,9900,514,50,PAYING
1076,2122.68,18.99,225,BW,0,8650,0,113,PAYING
1077,3999.31,18.99,300,BW,0,14100,0,112,PAYING
1078,5751.81,18.99,200,BW,139,5600,536,110,REPO HOLD
1079,4378.95,18.99,347.88,MO,1060,2475,631,49,CH 13 BANKRUPTCY
1080,8771.22,18.99,325,BW,0,14500,478,1798,PAYING
1081,2237.95,18.99,200,BW,75,8050,0,110,PAYING
1082,1797.07,18.99,210,BW,479,6025,444,103,REPO HOLD
1083,2446.63,18.99,260,BW,12,11850,506,108,PAYING
1084,1577.98,18.99,250,BW,0,9700,0,96,PAYING
1085,1780.76,18.99,285,BW,0,14050,0,103,PAYING
1086,1991.67,18.99,325,BW,0,15125,0,107,PAYING
1087,3167.19,18.99,340,BW,0,15000,0,98,PAYING
1088,7888.46,18.99,275,BW,61,14925,612,116,PAYING
1089,3651.86,19,410.38,MO,0,12125,542,71,PAYING
1090,4235.77,18.99,510,MO,0,11675,569,50,PAYING
1091,4130.73,18.99,350,MO,0,7575,0,57,PAYING
1092,4569.47,18.99,450,MO,0,9525,678,58,PAYING
1093,4162.5,18.99,225,BW,75,7225,0,117,PAYING
1094,4694.26,18.99,200,BW,0,5875,709,118,PAYING
1095,4600.12,18.99,325,BW,76,13150,0,110,PAYING
1096,3711.36,18.99,250,BW,0,9025,416,104,PAYING
1097,9110.27,18.99,215,BW,664,11250,526,94,CH 13 BANKRUPTCY
1098,2383.74,18.99,200,BW,0,6150,506,113,PAYING
1099,3203.19,18.99,315,BW,21,15125,0,113,PAYING
1100,4656.74,18.99,200,BW,24,6800,488,108,PAYING
1101,5494.24,18.99,225,BW,82,8550,485,109,REPO ASSIGN
1102,3198.58,18.99,270,BW,0,12250,0,99,PAYING
1103,3895.95,18.99,310,BW,0,18900,530,115,PAYING
1104,6192.06,18.99,330,BW,0,18275,0,127,PAYING
1105,2386.57,18.99,200,BW,222,5675,0,109,PAYING
1106,3811.06,18.99,190,BW,0,8700,446,124,PAYING
1107,1143.9,18.99,215,BW,0,8650,467,109,PAYING
1108,9890.5,18.99,200,BW,1035,6800,583,102,CH 13 BANKRUPTCY
1109,1141.1,18.99,225,BW,0,12525,603,113,PAYING
1110,1141.51,18.99,235,BW,6,5400,524,100,PAYING
1111,1390.44,18.99,275,BW,0,10950,573,92,PAYING
1112,2137.18,18.99,565,MO,18,14350,476,53,PAYING
1113,1412.27,18.99,200,BW,0,7275,0,97,PAYING
1114,3459.71,18.99,295,BW,5,16875,527,110,PAYING
1115,7482.2,18.99,320,BW,144,12100,0,105,REPO HOLD
1116,3271.8,18.95,473.38,MO,76,12150,611,60,PAYING
1117,10118.27,18.99,290,BW,1049,14450,486,96,CH 13 BANKRUPTCY
1118,4461.16,18.99,185,BW,0,4850,0,114,PAYING
1119,4083.69,18.99,220,BW,0,11675,0,122,PAYING
1120,1197.84,18.99,250,BW,0,10900,548,109,PAYING
1121,1323.18,18.99,215,BW,0,6900,0,106,PAYING
1122,4353.41,18.99,285,BW,82,9025,603,105,PAYING
1123,10925.52,19.01,560,MO,14,12625,500,55,PAYING
1124,4358.06,18.99,260,BW,0,12450,0,103,PAYING
1125,4102,18.99,210,BW,0,7600,594,105,PAYING
1126,2457.94,18,175,BW,762,3650,0,115,CH 13 BANKRUPTCY
1127,3934.07,18.99,270,BW,0,10400,538,100,PAYING
1128,3645.06,18.99,330,BW,0,10750,0,100,PAYING
1129,4521.27,18.99,200,BW,138,6375,496,93,PAYING
1130,3667.28,18,250,BW,566,8900,0,119,CH 13 BANKRUPTCY
1131,5730.12,18.99,220,BW,0,10800,625,111,PAYING
1132,3298.25,18,200,BW,860,3100,572,111,CH 13 BANKRUPTCY
1133,7505.18,18.99,285,BW,0,17600,0,109,PAYING
1134,3803.94,18.99,220,BW,16,8400,414,95,PAYING
1135,5635.2,18.99,240,BW,2,9000,575,105,PAYING
1136,3481.99,18.99,215,BW,0,7550,0,104,PAYING
1137,6233.37,19.02,250,SM,0,9275,592,105,PAYING
1138,4188.95,18.99,315,BW,0,16000,721,94,PAYING
1139,3167.93,18.99,250,BW,0,8600,0,92,PAYING
1140,2817.99,18.99,250,BW,19,10100,0,95,PAYING
1141,3534.56,18.99,290,BW,0,13450,0,109,PAYING
1142,6129.16,18.99,250,BW,59,11250,592,121,PAYING
1143,2233.76,18.98,400,MO,0,8925,547,44,PAYING
1144,1876.07,18.98,320,MO,0,5025,577,53,PAYING
1145,2133.71,18.99,190,BW,0,8525,0,117,PAYING
1146,6878.33,18.98,390,MO,19,9800,520,57,PAYING
1147,1454.17,18.99,135,BW,68,4325,567,109,PAYING
1148,1116.03,18.99,450,MO,0,6200,680,45,PAYING
1149,3035.42,18.98,335,MO,0,6050,500,49,PAYING
1150,10484.27,18.99,588.05,MO,0,16525,474,59,PAYING
1151,5354.76,18.99,200,SM,163,5050,603,100,PAYING
1152,4204.37,18.99,387.77,MO,0,8775,0,59,PAYING
1153,1293.48,18.99,165,BW,48,3450,550,93,PAYING
1154,5615.62,18.98,330,MO,25,7300,497,56,PAYING
1155,2085.72,18.95,300,MO,0,6125,443,48,PAYING
1156,1198.26,18.97,500,MO,0,13775,628,40,PAYING
1157,3171.2,18.99,370,MO,1,5500,492,45,PAYING
1158,4986.76,18.98,415,MO,86,9300,548,49,PAYING
1159,1299.85,18.99,250,BW,1,11500,613,103,PAYING
1160,5879.45,18.98,304.76,MO,746,4650,528,40,CH 13 BANKRUPTCY
1161,2696.06,18.99,245,BW,0,9450,0,103,PAYING
1162,4630.23,18.99,444.52,MO,15,9950,607,58,PAYING
1163,1844.53,18.99,380,MO,0,6475,606,57,PAYING
1164,1349.58,18,320,MO,0,3750,606,71,PAYING
1165,5672.88,18.99,220,BW,54,7650,538,109,PAYING
1166,4278.98,18.99,260,BW,0,10175,617,118,PAYING
1167,4622.61,18.98,410,MO,1,7275,569,53,PAYING
1168,5226.53,18.99,531.62,MO,20,15675,553,51,PAYING
1169,4746.3,18.99,160,BW,831,3350,563,81,CH 13 BANKRUPTCY
1170,12625.61,18.99,300,BW,265,16050,626,110,REPO HOLD
1171,3880.02,18.99,418.02,MO,0,10450,0,67,PAYING
1172,2900.28,18.95,350,MO,0,5375,569,49,PAYING
1173,8458.14,18.98,680,MO,0,18150,486,53,PAYING
1174,1933.67,18.99,307.48,MO,636,800,541,36,CH 13 BANKRUPTCY
1175,2042.46,18.99,493.51,MO,0,11650,528,55,PAYING
1176,1601.5,18.99,385,MO,0,8000,531,45,PAYING
1177,1576.14,18.99,180,BW,33,6425,508,110,PAYING
1178,2419.25,18.99,200,BW,33,5425,537,94,PAYING
1179,5262.96,18.98,526.13,MO,0,9925,638,56,PAYING
1180,3584.61,18.99,371.38,MO,100,4800,0,52,PAYING
1181,1542.2,18.99,303.1,MO,25,5625,474,52,PAYING
1182,3743.71,18.99,230,BW,0,13925,540,122,PAYING
1183,5653.55,18.99,215,BW,152,6550,589,115,REPO HOLD
1184,3136.52,18.99,215,BW,33,7675,626,106,PAYING
1185,2059.64,18.99,475,MO,0,8000,666,49,PAYING
1186,5135.7,19.07,400,MO,16,9625,528,51,PAYING
1187,1371.33,18.99,150,SM,453,1625,514,70,CH 13 BANKRUPTCY
1188,1860.43,18.99,540,MO,0,11775,671,49,PAYING
1189,2561.51,19.01,354,MO,0,9150,430,49,PAYING
1190,3472.25,18.99,165,BW,523,4775,680,80,CH 13 BANKRUPTCY
1191,1693.18,18.98,350,MO,80,6350,526,43,PAYING
1192,1349.05,18.99,290,BW,0,11475,566,97,PAYING
1193,1361.59,18.99,313.48,MO,0,4800,533,48,PAYING
1194,2309.41,18.95,320,MO,0,5375,509,47,PAYING
1195,1325.07,18.99,275,BW,97,8325,541,101,PAYING
1196,1297.9,18.99,250,BW,0,10125,752,104,PAYING
1197,8864.88,18.99,531.2,MO,477,15175,495,49,CH 13 BANKRUPTCY
1198,2195.79,18.99,235,SM,0,11950,0,114,PAYING
1199,5248.89,18.98,300.91,MO,501,6200,0,44,REPO HOLD
1200,3330.3,18.99,270,BW,93,8925,626,108,PAYING
1201,4771.53,18.97,400,MO,0,9350,445,47,PAYING
1202,6072.68,18.98,370,MO,79,10050,681,56,CH 07 BANKRUPTCY
1203,1542.34,18.98,388.25,MO,93,7475,598,44,REPO ASSIGN
1204,1875.45,6,561.4,MO,0,11250,541,49,PAYING
1205,8246.84,18.99,397.98,MO,800,5800,636,46,REPO HOLD
1206,3292.73,19.013,235,SM,0,7100,566,99,PAYING
1207,3864.14,18.982,160,BW,75,4875,476,112,PAYING
1208,5318.62,18.981,175,BW,90,4675,552,113,PAYING
1209,1601.41,18.975,215,BW,0,7850,443,98,PAYING
1210,2546.87,18.981,185,BW,0,6100,509,104,PAYING
1211,2022.15,18.99,150,BW,68,4150,517,109,PAYING
1212,2817.51,18.979,205,BW,0,7900,511,107,PAYING
1213,6796.51,18.987,232,BW,0,8825,505,111,PAYING
1214,3862.45,18.99,495,MO,131,11800,580,49,REPO ASSIGN
1215,10012.65,18.99,565,MO,0,12025,0,67,PAYING
1216,4156.99,18.99,485,MO,0,9850,752,61,PAYING
1217,4663.01,18.99,220,BW,0,9550,0,148,PAYING
1218,17001.38,18.99,740,MO,0,28225,486,67,PAYING
1219,12679.09,18.99,320,BW,0,22625,642,2131,PAYING
1220,1087.06,18.99,385,MO,69,10200,0,39,PAYING
1221,1485.25,19,325,MO,40,5650,558,61,PAYING
1222,9098.44,18.99,240,BW,0,20150,501,152,PAYING
1223,4152.51,18.99,510,MO,0,10075,603,69,PAYING
1224,12011.72,18.99,200,BW,1021,5650,508,85,REPO HOLD
1225,6509.56,18.99,350,MO,101,8400,0,75,REPO ASSIGN
1226,3838.76,18.99,435,MO,0,9625,0,73,PAYING
1227,1586.93,18.99,390,MO,60,0,0,49,PAYING
1228,6565.55,18.99,225,BW,0,13300,0,136,PAYING
1229,8897.94,19.12,245,BW,6,12475,545,1657,PAYING
1230,4186.89,18.99,200,BW,4,8025,0,139,PAYING
1231,6442.28,18.99,300,MO,34,10800,583,67,PAYING
1232,8713.58,18.99,385,MO,829,7950,476,49,CH 13 BANKRUPTCY
1233,1639.09,18,400,MO,29,6950,555,72,PAYING
1234,4248.31,18.99,560,MO,23,14500,453,57,PAYING
1235,5468.73,18.99,355,MO,404,8500,537,49,CH 13 BANKRUPTCY
1236,4357.08,18.99,330,MO,0,5675,0,61,PAYING
1237,1323.37,18.99,495,MO,0,11850,0,48,PAYING
1238,3257.01,18,330,MO,17,6575,523,70,PAYING
1239,4097.8,18.99,400,MO,4,10175,542,57,PAYING
1240,8874.54,18.99,645,MO,13,18725,636,68,PAYING
1241,5568.41,18.99,475,MO,0,10200,609,55,PAYING
1242,13736.61,18.99,585,MO,102,12550,516,67,PAYING
1243,6595.93,18.99,340,MO,8,14525,609,63,PAYING
1244,10941.8,18.99,180,BW,1034,4300,0,87,REPO HOLD
1245,2117.99,6,216.26,BW,0,14775,495,110,PAYING
1246,6387.78,18.99,450,MO,757,6425,622,44,CH 13 BANKRUPTCY
1247,4330.76,19,395,MO,0,6825,553,51,PAYING
1248,2472.43,17.99,175,BW,6,8150,0,162,PAYING
1249,6299.2,18.99,225,BW,0,8350,0,158,PAYING
1250,4780.19,18.99,370,MO,0,7700,599,61,PAYING
1251,5580.51,18.99,200,BW,9,11175,0,109,PAYING
1252,2240.43,18.99,195,BW,0,5150,689,97,PAYING
1253,7152.54,18.99,375,MO,1073,4275,0,29,REPO HOLD
1254,1666.31,18.99,480,MO,0,8100,507,49,PAYING
1255,2955.89,18.99,500,MO,0,9425,663,55,PAYING
1256,2554.84,18.99,400,MO,62,5500,411,43,PAYING
1257,6210.86,18.99,175,BW,0,9800,675,149,PAYING
1258,3406.39,18,500,MO,0,12450,579,73,PAYING
1259,3179.96,18.99,600,MO,76,13375,0,57,PAYING
1260,3056.51,18.99,480,MO,0,15050,0,59,PAYING
1261,6224.67,18.99,440,MO,0,14750,0,60,PAYING
1262,4016.88,18.99,150,BW,0,4800,650,132,PAYING
1263,11130.43,18.99,215,BW,790,7525,378,93,CH 13 BANKRUPTCY
1264,8294.1,18,550,MO,766,11650,696,56,REPO HOLD
1265,8427.97,18.99,500,MO,0,12850,0,61,PAYING
1266,1587.85,18.987,160,BW,62,3900,0,102,PAYING
1267,1353.79,18.99,220,BW,89,10175,629,107,PAYING
1268,4053.51,18.976,240,BW,0,11875,598,103,PAYING
1269,5029.55,18.987,193.99,BW,100,8075,0,108,PAYING
1270,2627.58,18.983,215,BW,0,9400,0,104,PAYING
1271,2549.83,18.987,205,BW,0,8150,505,103,PAYING
1272,3540.33,18.977,210,BW,0,9925,555,108,PAYING
1273,2551.98,18.978,400,MO,0,8275,491,51,PAYING
1274,1840.31,18.98,212,BW,0,8650,601,105,PAYING
1275,8958.15,18.981,235,BW,125,11250,0,122,REPO ASSIGN
1276,2391.98,18.989,170,BW,16,6375,570,103,PAYING
1277,2475.73,18.981,200,BW,125,5625,529,104,PAYING
1278,4356.26,18.986,180,BW,292,6100,541,99,CH 13 BANKRUPTCY
1279,9922.92,18.987,200,BW,1023,8075,628,92,REPO HOLD
1280,3518.48,18.986,205,SM,0,7300,0,103,PAYING
1281,1276.75,18.99,150,BW,0,4775,685,101,PAYING
1282,1768.58,18.99,190,BW,13,7100,649,102,PAYING
1283,3798.92,18.979,200,BW,41,5450,595,102,PAYING
1284,4657.04,18.99,180,BW,76,4675,560,105,PAYING
1285,1342.46,18.99,230,BW,0,9150,449,105,PAYING
1286,11880.65,18.98,225,BW,1037,11475,626,101,REPO HOLD
1287,2124.22,18.98,250,BW,29,12375,0,109,PAYING
1288,3128.96,18.99,195,BW,6,6625,596,101,PAYING
1289,4239.66,18.99,200,BW,68,6525,520,111,PAYING
1290,6596.83,18.99,200,BW,110,5850,594,110,REPO HOLD
1291,6777.13,18,450,MO,1109,7000,510,47,CH 13 BANKRUPTCY
1292,4568.34,18.99,165,BW,12,6150,478,101,PAYING
1293,1124.78,18.98,235,BW,33,9825,0,103,PAYING
1294,4269.48,18.99,200,BW,28,6650,554,1702,PAYING
1295,16161.03,18.99,245,BW,1042,8550,605,98,INSURANCE HOLD
1296,2498.69,18.99,190,BW,0,7800,0,107,PAYING
1297,3037.08,18.99,160,BW,188,7175,572,107,REPO HOLD
1298,5478.88,18.99,190,BW,1,6975,0,1710,PAYING
1299,1944.97,18.99,190,BW,71,7750,525,106,PAYING
1300,3975.98,18.98,240,BW,706,10150,0,95,CH 13 BANKRUPTCY
1301,2989.44,18.99,195,BW,20,7675,533,107,PAYING
1302,2659.13,18.99,195,BW,0,6050,0,106,PAYING
1303,5137.81,17.99,190,BW,972,3775,0,101,REPO HOLD
1304,4553.72,18.98,206,BW,70,7600,509,106,PAYING
1305,1491.57,18.98,195,BW,41,5125,568,101,PAYING
1306,2366.1,18,175,BW,1077,1900,624,91,CH 13 BANKRUPTCY
1307,9960.85,18.99,180,BW,1433,3525,568,80,CH 13 BANKRUPTCY
1308,13052.24,18.98,190,BW,1386,5700,512,107,CH 13 BANKRUPTCY
1309,13489.41,18.98,210,BW,1231,11075,501,106,CH 13 BANKRUPTCY
1310,4536.25,17.99,215,BW,1209,5275,439,91,REPO HOLD
1311,9514.01,18.99,397.96,MO,1148,9100,560,48,CH 13 BANKRUPTCY
1312,6955.94,18.99,375,MO,602,7275,612,68,CH 13 BANKRUPTCY
1313,6311.92,18.99,410,MO,591,7450,681,65,CH 13 BANKRUPTCY
1314,4253.46,18,335,MO,579,3575,556,62,CH 13 BANKRUPTCY
1315,4275.29,18.99,325,MO,897,3150,545,45,CH 13 BANKRUPTCY
1316,2708.85,18.99,400,MO,28,6175,0,43,PAYING
1317,5713.05,18,150,BW,1107,3750,0,103,CH 13 BANKRUPTCY
1318,4071.44,18,240,BW,657,7950,565,113,CH 13 BANKRUPTCY
1319,13575.03,18,215,BW,1588,7900,506,103,CH 13 BANKRUPTCY
1320,2795.52,18.99,275,BW,33,11850,0,103,PAYING
1321,5958.06,18.99,235,SM,557,6625,559,94,CH 13 BANKRUPTCY
1322,1775.66,23.5,298.44,MO,27,4225,658,47,PAYING
1323,2245.1,29.99,308.14,MO,66,3850,582,43,PAYING
1324,2893.17,24,328.58,MO,72,5800,660,48,PAYING
1325,5473.41,24.99,140.07,BW,0,5100,553,132,PAYING
1326,4798.54,24.99,329.48,MO,49,5500,544,49,PAYING
1327,1761.32,24,350,MO,1,6250,0,42,PAYING
1328,10094.83,24.99,218.87,BW,70,8775,561,125,PAYING
1329,5194.61,23,350,MO,0,5425,656,58,PAYING
1330,1321.6,24.99,147.13,BW,7,4125,529,105,PAYING
1331,5176.77,23.56,548.36,MO,0,10575,533,49,PAYING
1332,5148.43,24.99,192.43,BW,6,7075,557,106,PAYING
1333,7487.2,22,179.82,BW,39,8275,537,145,PAYING
1334,7131.89,24.99,188.62,BW,0,8075,673,132,PAYING
1335,1201.59,16.9,550,MO,0,8375,605,40,PAYING
1336,1683.8,28.26,155,BW,0,5400,555,117,PAYING
1337,3777.75,18.44,256.38,MO,0,5950,585,72,PAYING
1338,2601.19,28.68,172.26,BW,0,8350,585,104,PAYING
1339,4716.77,24.68,178.96,BW,0,8325,589,130,PAYING
1340,2907.56,27.5,158.59,BW,0,6375,580,130,PAYING
1341,6303.85,21,211.8,BW,63,11025,627,130,PAYING
1342,5199.59,24.39,153.9,BW,20,7050,624,143,PAYING
1343,7258.07,24.39,141.43,BW,90,7150,510,149,PAYING
1344,4138.42,26,169.66,BW,35,5150,654,116,PAYING
1345,4480.37,24.99,153.79,BW,0,5000,642,121,PAYING
1346,3493.38,15.99,128.63,MO,0,6700,599,66,PAYING
1347,5409.87,20.99,280.43,MO,0,6075,0,62,PAYING
1348,4319.4,24.99,318.03,MO,0,5700,564,50,PAYING
1349,7191.98,18.49,319.45,MO,0,8675,633,66,PAYING
1350,9350.93,18,335.97,MO,52,7200,0,69,PAYING
1351,6133.02,21.99,350.55,MO,0,7625,537,62,PAYING
1352,6108.89,23.99,348.02,MO,0,6100,0,60,PAYING
1353,7171.6,23.99,372.45,MO,0,6925,529,62,PAYING
1354,13308.51,18.05,431.11,MO,185,11950,0,71,REPO HOLD
1355,7071.24,23.99,376.72,MO,0,8525,536,62,PAYING
1356,13015.79,18.5,427.18,MO,12,10650,547,72,PAYING
1357,4807.92,18.9,243.84,MO,114,5800,628,60,REPO HOLD
1358,8107.7,19.99,382.26,MO,52,9225,578,64,PAYING
1359,5310.08,22.99,275.83,MO,117,4300,578,56,REPO HOLD
1360,9935.56,18.29,381.71,MO,0,0,NULL,66,PAYING
1361,8251.29,22.99,386.67,MO,0,0,NULL,60,PAYING
