LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
92,7165.92,18.24,338.77,MO,98,9375,518,78,REPO HOLD
93,3683.86,18,378.63,MO,8,9400,609,75,PAYING
94,6624.28,18.24,490.8,MO,26,13500,534,75,PAYING
95,5623.23,18,385.6,MO,19,10175,0,73,PAYING
96,15421.13,23.8,525.23,MO,7,12175,595,81,PAYING
97,3410.96,18.05,410.77,MO,0,10975,511,70,PAYING
98,7170.33,17.99,398.25,MO,85,9325,0,76,PAYING
99,5098.81,18,384.64,MO,31,8975,519,73,PAYING
100,6458,18,589.77,MO,0,17525,598,75,PAYING
101,3821.89,17.99,310.83,MO,122,9300,0,72,PAYING
102,2779.15,18.24,435.89,MO,0,13450,594,72,PAYING
103,8491.53,18.25,439.02,MO,0,11775,598,80,PAYING
104,5082.61,18,379.09,MO,0,11250,527,74,PAYING
105,2695.62,18.04,429.14,MO,0,11675,634,72,PAYING
106,3356.23,18.24,346.67,MO,0,7750,508,72,PAYING
107,2983.24,18.01,381.24,MO,0,9325,594,73,PAYING
108,8076.59,18,363.43,MO,11,8775,543,80,PAYING
109,8204.38,18,383.78,MO,10,9225,0,81,PAYING
110,4332.71,18.01,367.6,MO,4,9325,0,76,PAYING
111,3978.52,19,405.1,MO,52,10725,570,73,PAYING
112,3427.1,18.24,324.84,MO,71,9325,0,72,PAYING
113,2110.18,18,427.5,MO,0,11050,455,72,PAYING
114,4947.97,18.01,482.77,MO,63,9850,575,72,PAYING
115,1817.79,19,294.11,MO,0,8500,540,68,PAYING
116,4772.08,18,388.97,MO,18,10025,0,74,PAYING
117,1966.76,18.25,369.7,MO,0,10100,569,72,PAYING
118,5577.66,18.44,469.69,MO,0,12550,559,75,PAYING
119,9693.99,18,413.27,MO,4,9675,533,78,PAYING
120,5824.57,18.01,470.82,MO,22,12475,0,73,PAYING
121,9670.31,18,397.68,MO,0,9300,475,81,PAYING
122,3746.13,18,406.52,MO,0,12025,461,72,PAYING
123,3423.22,18,341.05,MO,0,9700,591,72,PAYING
124,1027.05,18.24,485.09,MO,22,14300,0,77,PAYING
125,8044.2,16,407.41,MO,0,14100,509,75,PAYING
126,3368.86,18.43,294.91,MO,0,8250,504,74,PAYING
127,7938.72,18,519.34,MO,0,13775,608,73,PAYING
128,13094.31,18.01,689.06,MO,34,24750,455,78,PAYING
129,7956.48,18,390.24,MO,4,10350,0,78,PAYING
130,4322.49,18,436.24,MO,0,11025,555,72,PAYING
131,8597.5,18,449.25,MO,0,11100,608,77,PAYING
132,4712.71,18,428.84,MO,0,11100,609,73,PAYING
133,8207.37,18.49,388.25,MO,52,10225,548,76,PAYING
134,3571.01,18.23,392.86,MO,0,11750,0,72,PAYING
135,6493.98,18.24,380.88,MO,0,11975,0,75,PAYING
136,3004.53,18,355.47,MO,0,8025,0,69,PAYING
137,10462.64,18,399.68,MO,0,12675,627,78,PAYING
138,4148.58,18,450.39,MO,0,16000,616,72,PAYING
139,2404.66,21.05,309.19,MO,0,8600,527,60,PAYING
140,4738.47,24.95,388.91,MO,0,8150,0,66,PAYING
141,7990.67,22.95,429.25,MO,0,11975,0,75,PAYING
142,6756.38,22.95,550.64,MO,66,12650,555,72,PAYING
143,9173.32,24,507.84,MO,38,11400,511,67,PAYING
144,9847.09,21,385,MO,909,4700,533,60,REPO HOLD
145,1173.26,15.2,218,SM,27,11050,519,124,PAYING
146,1595.39,15,422.73,MO,0,14625,604,72,PAYING
147,4543.73,18.37,393.99,MO,4,9925,485,72,PAYING
148,7625.82,17.5,498.81,MO,63,15850,455,72,PAYING
149,3548.24,18,492.15,MO,0,11850,631,72,PAYING
150,5610.39,27.99,344.22,MO,656,8050,452,56,CH 13 BANKRUPTCY
151,2782.08,27.99,352.59,MO,523,6850,589,52,CH 13 BANKRUPTCY
152,5207.39,27.99,398.76,MO,0,7450,522,68,PAYING
153,4634.44,27.99,463,MO,56,8350,506,60,PAYING
154,1084.16,27.99,442.2,MO,12,8900,0,56,PAYING
155,4603.91,27.99,488.03,MO,32,10800,497,62,PAYING
156,1541.13,25,439.8,MO,133,8750,499,66,REPO ASSIGN
157,1563.78,25,421.66,MO,0,8425,515,60,PAYING
158,15078.71,17.99,582.05,MO,53,16175,583,78,PAYING
159,1705.76,27,389.4,MO,193,7875,0,63,REPO HOLD
160,4711.06,18.99,396.61,MO,0,8800,602,66,PAYING
161,3806.54,18.25,406.84,MO,37,11325,569,64,PAYING
162,5213.59,19.9,686,MO,0,20350,551,66,PAYING
163,4769.51,18.99,356.25,MO,8,9575,561,75,PAYING
164,3608.97,18,407.21,MO,24,11750,541,77,PAYING
165,6892.72,19.89,435,MO,42,14750,0,68,PAYING
166,8102.32,17.95,453.66,MO,70,11650,514,78,PAYING
167,2392.72,22,431.53,MO,0,14225,543,72,PAYING
168,1797.15,19.99,315.42,MO,12,9600,575,61,PAYING
169,2780.74,18,375.64,MO,0,11600,499,73,PAYING
170,1267.21,27,438.33,MO,35,6975,561,64,PAYING
171,4603.75,18.24,384.99,MO,73,9650,569,72,PAYING
172,4057.63,18.02,521.03,MO,0,15650,609,72,PAYING
173,10942.36,17.99,451.57,MO,4,15200,531,80,PAYING
174,5640.58,22.95,398.25,MO,0,9375,550,72,PAYING
175,2110.45,17.75,362.69,MO,1,9550,0,61,PAYING
176,10871.96,17.75,424.37,MO,155,10675,0,71,REPO HOLD
177,1404.29,19.5,336.26,MO,731,6525,0,54,CH 13 BANKRUPTCY
178,5005.63,19.5,449.6,MO,62,11150,0,70,PAYING
179,2188.91,19,346.57,MO,58,7675,0,60,PAYING
180,2178.5,22,331.7,MO,3,7200,0,62,PAYING
181,3295.95,20,367.54,MO,8,8650,0,66,PAYING
182,4569.43,19.25,437.69,MO,9,11125,0,66,PAYING
183,2778.34,17.5,308.8,MO,0,9400,0,65,PAYING
184,3582.32,25,311.88,MO,1791,1987.5,0,46,CH 13 BANKRUPTCY
185,4888.34,17.5,337.82,MO,31,10025,0,68,PAYING
186,1998.74,18.95,275.25,MO,1523,2000,0,47,CH 13 BANKRUPTCY
187,7890.77,20,369.8,MO,31,10400,0,75,PAYING
188,6742,16.5,383.69,MO,551,10750,0,66,CH 13 BANKRUPTCY
189,1387.68,18.99,420.14,MO,537,8100,0,66,CH 13 BANKRUPTCY
190,1897.08,19.99,325.53,MO,1109,4000,467,47,CH 13 BANKRUPTCY
191,1615,16.99,291.37,MO,0,7500,0,68,PAYING
192,2547.4,16.99,368.39,MO,60,9375,0,72,PAYING
193,1825.35,18.61,450.03,MO,196,9800,503,68,REPO ASSIGN
194,1288.14,15.99,305.53,MO,62,8600,0,60,PAYING
195,6442.19,19,425.63,MO,36,12750,0,70,PAYING
196,2079.99,16.99,395.94,MO,0,11500,0,66,PAYING
197,1700.27,19.5,356.96,MO,8,5650,0,65,PAYING
198,5200.53,17.5,429.68,MO,0,11825,0,68,PAYING
